productName,variantName,productPrice,productImage,categoryID
Mango (1 pc),,4,media/Site Files/mango-e1592500407209.jpg,24
Avocado (AUS)/9kg,,60,media/Site Files/avocado.jpg,24
China Golden Pear (30p),,90,media/Site Files/pear.jpg,24
Mix Berries (500g),,11.7,media/Site Files/Mix-Berries-500GM_PKT-.jpg,24
Local Honeydew (1 pc),,20,media/Site Files/Local-Honeydew.jpg,24
MD2 Pineapple (1 pc),,12,media/Site Files/pineapple-e1592500694372.jpg,24
Local Watermelon (1 pc),,20,media/Site Files/watermelon.jpeg,24
Crimson Seedless Grape (4.5kg),,70,media/Site Files/chileseedlessredgrape-e1592981850967.jpg,24
Grapefruit (1 pc),,3.2,media/Site Files/grapefruit.jpg,24
Green Apple,Green Apple(TUR(198)),100,media/Site Files/apple afica.jpg,24
Green Apple,Green Apple(TUR(138)),110,media/Site Files/apple afica.jpg,24
Green Apple,Green Apple(SA(150)),100,media/Site Files/apple afica.jpg,24
Lime (100g/pack),,1.2,media/Site Files/limau.jpeg,24
Salted Egg (6 pcs),,5.4,media/Site Files/Century-Eggs.jpg,16
Eggs (Grade A) (30pcs/tray),,15.5,media/Site Files/eggs-grade-b-e1592471187840.jpeg,16
Omega Egg (10 pcs/tray),,5.75,media/Site Files/Omega-Eggs.png,16
Kampung Eggs (30pcs/tray),,18,media/Site Files/1100-0025-e1593067012109.jpg,16
Duck Egg (5 pcs),,5,media/Site Files/Duck-eggs.jpg,16
Eggs (Grade C) (30pcs/tray),,12.6,media/Site Files/eggs-grade-b-e1592471187840.jpeg,16
Eggs (Grade B) (30pcs/tray),,14.5,media/Site Files/eggs-grade-b-e1592471187840.jpeg,16
Century Egg / Pidan (5 pcs),,6,media/Site Files/9db03f_6ddc296ce6a04012ad436329acf26f01_mv2.jpg,16
Omega Egg (3×10 pcs),,16.5,media/Site Files/Omega-Eggs-Bundle.jpg,16
Ma Cao Eggs 马草蛋 (Grade A) (30pcs/tray),,23,media/Site Files/Ma-Cao-Eggs.jpg,16
Ma Cao Eggs / 马草蛋 (Grade A) (10pcs),,8.5,media/Site Files/Ma-Cao-Eggs-1.jpg,16
Daun Sup / Leaf Celery (100g/pack),,2,media/Site Files/daun sup.jpg,6
Labu Air (+/-1kg per pack),,7.7,media/Site Files/labu air.jpg,2
Bunga Kantan / Torch Ginger Flower (3 pcs/bundle),,3.9,media/Site Files/bungakantan-e1592981873746.jpg,1
Petai (200g/pack),,12.8,media/Site Files/petai-e1592979301181.jpg,4
Turmeric / Kunyit Hidup (300g/pack),,3.5,media/Site Files/kunyit hidup.jpeg,3
Lengkuas / Galangal (300g/pack),,3.5,media/Site Files/lengkuas.jpeg,3
"Lime Leaves, Daun Limau (10 pcs/pack)",,1,media/Site Files/B304DF79-F719-4BB1-9B09-20AF8EE2F881_4_5005_c-e1592986405342.jpeg,6
Holland Pea / Snow Pea /130g*30p,,55,media/Site Files/holland pea.jpg,4
Green Chilli Padi/Cili Padi Hijau (100g/pack),,1.8,media/Site Files/cili padi hijau.jpeg,2
Mini Yam ( 7kg ),,28,media/Site Files/Yam-keladi.jpg,3
Mint Leaves/Daun Pudina (100g/pack),,1.5,media/Site Files/daun pudina.jpg,6
"Curry Leaves, Daun Kari (50g/pack)",,1.5,media/Site Files/daun kari.jpeg,6
Chat Potato (15kg),,0,media/Site Files/chat potato.jpg,3
Honey Sweet Potato / 蜜糖番薯 +/-500g,,5.5,media/Site Files/sweet orange potato.jpg,3
(Organic) Tomato / 番茄 +/-300g,,5.5,media/Site Files/Tomato-1.jpg,2
Sengkuang,,4.5,media/Site Files/Sengkuang.png,1
Green Pepper (1 pc),,5.4,media/Site Files/05B0C3A5-5851-44FB-B18B-F5A25FF57AB2_4_5005_c-e1593058900467.jpg,2
Local Sweet Potato (Purple/Yellow) - 500g*10p,Local Sweet Potato - 500g*10p(Purple),6.5,media/Site Files/Sweet-Potato-Purple-1.jpg,3
Local Sweet Potato (Purple/Yellow) - 500g*10p,Local Sweet Potato - 500g*10p(Yellow),6.5,media/Site Files/local sweet potato yellow.jpg,3
Petola (500g+/-pack),,5.1,media/Site Files/petola.jpeg,2
Yellow Pepper (1 pc),,5.4,media/Site Files/yellow chili.jpg,1
Small Bittergourd (250g/pack),,2.9,media/Site Files/smallbittergourd-e1592981694286.jpg,2
Beetroot (500g/pack),,4,media/Site Files/84BCAE99-9BC2-4E86-9C1A-BB70450281AC_4_5005_c-e1593064430741.jpg,3
Sweet Potato (Japanese) / 日本番薯 +/-500g,,5.5,media/Site Files/Sweet-Potato-Japanese-1-1.jpg,3
Red Chilli (200g/pack),,3,media/Site Files/E65CCE48-0CC4-44A2-BED1-AFA036E15130_4_5005_c-e1593064247877.jpg,2
TAIWAN Sweet Potato/500kg*10p,TAIWAN Sweet Potato/500kg*10p(Orange),35,media/Site Files/sweet orange potato.jpg,3
Red Pepper (1 pc),,5.4,media/Site Files/Red Paper.jpg,2
Red Chilli Padi (100g/pack),,3.5,media/Site Files/71C69288-1789-44D1-8182-42460F0FD3A0_4_5005_c-e1592986215716.jpeg,2
Local Leek /Korea Leek,Local Leek(Local (8kg)),0,media/Site Files/AF207180-1573-4EEB-A518-2B2D33B348FE_4_5005_c-e1593062688284.jpg,6
Local Leek /Korea Leek,Korea Leek(Korea (5kg)),0,media/Site Files/AF207180-1573-4EEB-A518-2B2D33B348FE_4_5005_c-e1593062688284.jpg,6
Shitake Mushroom (200g*25p),,85,media/Site Files/587055D2-D31C-480D-8876-FD79255830F0_4_5005_c-e1593061497845.jpg,1
Dai Pak Choy / Sawi Putih (250g/pack),,3,media/Site Files/FC2A8831-E4A7-4C8E-B7D0-2F47AEA7607E_4_5005_c-e1593064140438.jpg,6
Hong Kong Nai Bak (200g/pack),,4.5,media/Site Files/china-baby-qing-bak-200g-pack.jpg,6
Butter Lettuce (1 pc),,4.8,media/Site Files/257C78C1-2ACC-4FA6-8F47-BF2660E80664_4_5005_c-e1593063109720.jpg,6
(Organic) Mini Cos / Romaine Lettuce / 油麦 +/-280g,,5.5,media/Site Files/Mini-Cos-1.jpg,6
Kuchai / Garlic Chives (100g/pack),,1.5,media/Site Files/B8B78F6B-5801-4BAF-A803-086D9FADE43C_4_5005_c-e1592987406319.jpeg,6
(Organic) Cabbage Shoot / Choy Tam / 菜旦 +/-270g,,5.5,media/Site Files/Choy-Tam-1.jpg,6
Cherry Tomato (300g/pack),,4,media/Site Files/A89C1479-12D1-476B-9CB7-AD3BE3D6214E_4_5005_c-e1593058806713.jpg,2
AUS Jap Pumpkin / Butternut Pumpkin,AUS Jap Pumpkin(Jap),200,media/Site Files/AFE65E4E-257B-423D-87F5-0697C3B0D31A_4_5005_c-e1593063418476.jpg,2
AUS Jap Pumpkin / Butternut Pumpkin,Butternut Pumpkin(Butternut),200,media/Site Files/butternut pumpkin.jpg,2
Washed Lotus Root (10kg),,120,media/Site Files/Lotus-Root.png,3
Button Mushroom (200g/pack),,7,media/Site Files/624F4822-8BE6-48A3-AB15-8194C0406510_4_5005_c-e1593061638437.jpg,5
US / Russet Potato 120 /22.7kg,,95,media/Site Files/US-Russet-Potato.jpg,3
Beijing Cabbage,,45,media/Site Files/1617789692521-Cut Cabbage Beijing1.jfif.jpg,6
Chinese Parsley / Coriander / Daun Ketumbar (100g/pack),,2,media/Site Files/daun ketumbar.jpg,6
Celery (15Kg),,120,media/Site Files/Celery-1.jpg,6
Cauliflower(12kg),,60,media/Site Files/82E6209C-ECD9-4131-B8EA-BDCA749F1F85_4_5005_c-e1593064406809.jpg,2
Baby Corn (1 pack),,3,media/Site Files/Baby-Corn.jpg,2
Almond Mushroom / King Oyster Mushroom,King Oyster Mushroom(200g*30p),75,media/Site Files/king-oyster-mushroom-e1592983780898.jpg,5
Almond Mushroom / King Oyster Mushroom,Almond Mushroom(300g*15p),60,media/Site Files/king-oyster-mushroom-e1592983780898.jpg,5
Baby Siew Pak Choy (200g/pack),,4,media/Site Files/babysiewpakchoy-e1590754014296.jpg,6
Old Cucumber (1 pc),,4.5,media/Site Files/Old-Cucumber.png,2
Shimeji Mushroom(Brown/White)-150g*40p,Shimeji Mushroom-150g*40p(Brown),68,media/Site Files/Brown-Shimeiji-Mushroom-e1593653378919.jpeg,5
Shimeji Mushroom(Brown/White)-150g*40p,Shimeji Mushroom-150g*40p(White),65,media/Site Files/Brown-Shimeiji-Mushroom-e1593653378919.jpeg,5
(Natural) Baby French Bean / 桂豆苗 +/-180g,,5.5,media/Site Files/Baby-French-Bean-1.jpg,4
Ginger/Ginger King,Ginger(5kg),24,media/Site Files/8604CD57-0283-4159-95CB-AE625B58D881_4_5005_c-e1592986271448.jpeg,3
Ginger/Ginger King,Ginger King(10kg),58,media/Site Files/8604CD57-0283-4159-95CB-AE625B58D881_4_5005_c-e1592986271448.jpeg,3
Eggplant / Brinjal / Aubergine (1 pc),,3.3,media/Site Files/A7211247-C2FB-4133-8577-E449D5015496_4_5005_c-e1593064056327.jpg,2
Long Bean (250g/pack),,3.5,media/Site Files/longbean-e1592981717719.jpg,4
Japanese Cucumber (500g/pack),,4.3,media/Site Files/6351D2F5-B4F2-4AEE-9BDE-05350BE02AE8_4_5005_c-e1593063400871.jpg,2
Hong Kong Kai Lan / 香港芥兰 (200g/pack),,4,media/Site Files/Kailan-1.jpg,6
NZ/Brown Onion/500g*10p,,18,media/Site Files/C43A0476-9C57-4734-8EB4-B98BA78B4A15_4_5005_c-e1593058920866.jpg,3
Romaine (1 pc),,4.5,media/Site Files/romaine.jpg,6
